answer,bijoy_detected,explanation,fingerprint,id,question,raw,source_file,topic
Chapter / Cluster 04 - ভাষার বিচারে বাক্যের নিম্নলিখিত তিনটি গুণ থাকা চাই,False,═════════════════════════════════════════════════════════════════,01a8c8064a36cf2cd92e0ff66936ff3025f8c169f5a4adac56efab3167901d9d,data_tag_id_105_Stage4_final_output-11,═════════════════════════════════════════════════════════════════,{'text_block': '═════════════════════════════════════════════════════════════════\n  Chapter / Cluster 04  —  ভাষার বিচারে বাক্যের নিম্নলিখিত তিনটি গুণ থাকা চাই\n═════════════════════════════════════════════════════════════════'},data_tag_id_105_Stage4_final_output.txt,
• বাক্যস্থিত পদসমূহের অন্তর্গত এবং ভাবগত মিলবন্ধনের নাম যোগ্যতা।,False,• যেমন- বর্ষার রৌদ্রে প্লাবনের সৃষ্টি হয়।,c15e1481c0fec31a02ad924d70115a9e7e882410d48b77160a9085324d01cc78,data_tag_id_105_Stage4_final_output-12,• ণ-ত্ব ও ষ-ত্ব বিধান বাংলা বানানের ক্ষেত্রে গুরুত্বপূর্ণ।,"{'text_block': '•  ণ-ত্ব ও ষ-ত্ব বিধান বাংলা বানানের ক্ষেত্রে গুরুত্বপূর্ণ।\n  •  বাক্যস্থিত পদসমূহের অন্তর্গত এবং ভাবগত মিলবন্ধনের নাম যোগ্যতা।\n  •  যেমন- বর্ষার রৌদ্রে প্লাবনের সৃষ্টি হয়।\n  •  বাক্যটিতে ভাবগত মিল নেই।\n  •  এজন্য এটি যোগ্যতা হারিয়েছে।\n  •  কারন রোদ প্লাবন সৃষ্টি করে না।\n  •  এটি সঠিক।\n  🔗 সূত্রঃ বাংলা ভাষার ব্যাকরণ, নবম-দশম শ্রেণীর বোর্ড বই।'}",data_tag_id_105_Stage4_final_output.txt,
• ভাষার বিচারে বাক্যের নিম্নলিখিত তিনটি গুণ থাকা চাই।,False,"• আকাঙ্খা, আসত্তি ও যোগ্যতা।",d352d4f13c681dfdb7639fa6748a5f7dc6150aa2bc2ad36b4ad4fed44af538b3,data_tag_id_105_Stage4_final_output-13,• বাগধারার শব্দ পরিবর্তন করলে বাক্য তার যোগ্যতা হারায়।,"{'text_block': '•  বাগধারার শব্দ পরিবর্তন করলে বাক্য তার যোগ্যতা হারায়।\n  •  ভাষার বিচারে বাক্যের নিম্নলিখিত তিনটি গুণ থাকা চাই।\n  •  আকাঙ্খা, আসত্তি ও যোগ্যতা।'}",data_tag_id_105_Stage4_final_output.txt,
Chapter / Cluster 05 - যোগরূঢ় শব্দ,False,═════════════════════════════════════════════════════════════════,a30709658881b87a1ae04b9cd3b6c6a7412d41845820a8546fe39574fab60d79,data_tag_id_105_Stage4_final_output-14,═════════════════════════════════════════════════════════════════,{'text_block': '═════════════════════════════════════════════════════════════════\n  Chapter / Cluster 05  —  যোগরূঢ় শব্দ\n═════════════════════════════════════════════════════════════════'},data_tag_id_105_Stage4_final_output.txt,
"• যেমন-পঙ্কজ, রাজপুত, মহাযাত্রা, জলধি ইত্যাদি।",False,• পঙ্কজঃ পঙ্কে জন্মে যা। কিন্তু 'পঙ্কজ' শব্দটি একমাত্র 'পদ্মফুল' অর্থেই ব্যবহৃত হয়। তাই পঙ্কজ একটি যোগরূঢ় শব্দ।,429d2598e8c7b9c335c049053a9e24a8792c3e5e88324cd419c80b118ed24ad5,data_tag_id_105_Stage4_final_output-15,• সমাস নিষ্পন্ন যে সকল শব্দ সম্পূর্ণভাবে সমস্যমান পদসমূহের অনুগামী না হয়ে কোনো বিশিষ্ট অর্থ গ্রহণ করে তাদের যোগরূঢ় শব্দ বলে।,"{'text_block': ""•  সমাস নিষ্পন্ন যে সকল শব্দ সম্পূর্ণভাবে সমস্যমান পদসমূহের অনুগামী না হয়ে কোনো বিশিষ্ট অর্থ গ্রহণ করে তাদের যোগরূঢ় শব্দ বলে।\n  •  যেমন-পঙ্কজ, রাজপুত, মহাযাত্রা, জলধি ইত্যাদি।\n  •  পঙ্কজঃ পঙ্কে জন্মে যা। কিন্তু 'পঙ্কজ' শব্দটি একমাত্র 'পদ্মফুল' অর্থেই ব্যবহৃত হয়। তাই পঙ্কজ একটি যোগরূঢ় শব্দ।\n  •  জলধিঃ 'জল ধারণ করে এমন' অর্থ পরিত্যাগ করে একমাত্র 'সমুদ্র' অর্থেই ব্যবহৃত হয়।\n  •  মহাযাত্রাঃ 'মহাসমারোহে যাত্রা' অর্থ পরিত্যাগ করে যোগরূঢ় শব্দরূপে অর্থ 'মৃত্যু'।\n  •  রাজপুতঃ 'রাজার পুত্র' অর্থ পরিত্যাগ করে যোগরূঢ় শব্দ হিসেবে অর্থ হয়েছে 'জাতি বিশেষ'।\n  •  অপরদিকে সন্দেশ, প্রবীণ, তৈল, বাঁশি, গবেষণা, হস্তী, জ্যাঠামি, সরোজ, সহৃদ, অসুখ, মন্দির, জলদ, অন্ন, প্রভৃতি রূঢ়ি শব্দ।\n  🔗 উৎসঃ বাংলা ভাষার ব্যাকরণ, নবম-দশম শ্রেণি।""}",data_tag_id_105_Stage4_final_output.txt,
Chapter / Cluster 06 - যোগরূঢ় শব্দ উৎসগতভাবে শব্দসমূহ চার ভাগে বিভক্ত,False,═════════════════════════════════════════════════════════════════,e0fff03a0f3a1e9132fb53dd9aef07ae94b6d82bd65aab7eb622e427556187e3,data_tag_id_105_Stage4_final_output-16,═════════════════════════════════════════════════════════════════,{'text_block': '═════════════════════════════════════════════════════════════════\n  Chapter / Cluster 06  —  যোগরূঢ় শব্দ উৎসগতভাবে শব্দসমূহ চার ভাগে বিভক্ত\n═════════════════════════════════════════════════════════════════'},data_tag_id_105_Stage4_final_output.txt,
• গঠনগত দিক থেকে শব্দ দুই প্রকার: মৌলিক ও সাধিত।,False,"🔗 উৎসগত দিক থেকে শব্দ চার প্রকার: তৎসম, তদ্ভব, দেশি ও বিদেশি।",25223ebd98e7b6b2a9ce3f1d3621c216741c6f1d250877af9ee3f8bcada1a4d2,data_tag_id_105_Stage4_final_output-17,"• গঠন অনুসারে বাক্য তিন প্রকার: সরল, জটিল ও যৌগিক।","{'text_block': '•  গঠন অনুসারে বাক্য তিন প্রকার: সরল, জটিল ও যৌগিক।\n  •  গঠনগত দিক থেকে শব্দ দুই প্রকার: মৌলিক ও সাধিত।\n  🔗 উৎসগত দিক থেকে শব্দ চার প্রকার: তৎসম, তদ্ভব, দেশি ও বিদেশি।'}",data_tag_id_105_Stage4_final_output.txt,
"• বাংলা শব্দ মূলত তিনভাবে গঠিত হতে পারে: উপসর্গ যোগে, প্রত্যয় যোগে এবং সমাসের মাধ্যমে।",False,,4ff348e232bef8565af10d31a9314a48c2ad46c470fd31fc0ac1d2bb079e86c1,data_tag_id_105_Stage4_final_output-18,"• অর্থগত দিক থেকে শব্দ তিন প্রকার: যৌগিক, রূঢ়ি ও যোগরূঢ়।","{'text_block': '•  অর্থগত দিক থেকে শব্দ তিন প্রকার: যৌগিক, রূঢ়ি ও যোগরূঢ়।\n  •  বাংলা শব্দ মূলত তিনভাবে গঠিত হতে পারে: উপসর্গ যোগে, প্রত্যয় যোগে এবং সমাসের মাধ্যমে।'}",data_tag_id_105_Stage4_final_output.txt,
Chapter / Cluster 07 - লগ্নক: পদে পরিণত হওয়ার সময়ে শব্দের সঙ্গে কিছু শব্দাং,False,═════════════════════════════════════════════════════════════════,7b7bf5a1c8de0b64df37803572c3c0da027014b2830bbba7a6453d615f85d696,data_tag_id_105_Stage4_final_output-19,═════════════════════════════════════════════════════════════════,{'text_block': '═════════════════════════════════════════════════════════════════\n  Chapter / Cluster 07  —  লগ্নক: পদে পরিণত হওয়ার সময়ে শব্দের সঙ্গে কিছু শব্দাং\n═════════════════════════════════════════════════════════════════'},data_tag_id_105_Stage4_final_output.txt,
"• বিভক্তি: ক্রিয়ার কাল নির্দেশের জন্য এবং কারক বোঝাতে পদের সঙ্গে যেসব শব্দাংশ যুক্ত থাকে, সেগুলোকে বিভক্তি বলে।",False,"• নির্দেশক: যেসব শব্দাংশ পদের সাথে যুক্ত হয়ে পদকে নির্দিষ্ট করে, সেগুলোকে নির্দেশক বলে।",18e2606a69b6d00665476f85bd70cc920376039f6e426661baf8a6f8625c73c7,data_tag_id_105_Stage4_final_output-20,"• লগ্নক: পদে পরিণত হওয়ার সময়ে শব্দের সঙ্গে কিছু শব্দাংশ যুক্ত হয়, এগুলোর নাম লগ্নক।","{'text_block': '•  লগ্নক: পদে পরিণত হওয়ার সময়ে শব্দের সঙ্গে কিছু শব্দাংশ যুক্ত হয়, এগুলোর নাম লগ্নক।\n  •  বিভক্তি: ক্রিয়ার কাল নির্দেশের জন্য এবং কারক বোঝাতে পদের সঙ্গে যেসব শব্দাংশ যুক্ত থাকে, সেগুলোকে বিভক্তি বলে।\n  •  নির্দেশক: যেসব শব্দাংশ পদের সাথে যুক্ত হয়ে পদকে নির্দিষ্ট করে, সেগুলোকে নির্দেশক বলে।\n  •  বচন: যেসব শব্দাংশ পদের সাথে যুক্ত হয়ে পদের সংখ্যা বোঝায়, সেগুলোকে বচন বলে।\n  •  বলক: যেসব শব্দাংশ পদের সাথে যুক্ত হলে বক্তব্য জোরালো হয়, সেগুলোকে বলক বলে।'}",data_tag_id_105_Stage4_final_output.txt,
Chapter / Cluster 08 - '-ঈ' প্রত্যয় যোগে লিঙ্গান্তরিত শব্দ- একাদশ,False,═════════════════════════════════════════════════════════════════,895b49aff822143728f30ed409530991ac30e2f5a84a4cb99c3e43e94cebd233,data_tag_id_105_Stage4_final_output-21,═════════════════════════════════════════════════════════════════,"{'text_block': ""═════════════════════════════════════════════════════════════════\n  Chapter / Cluster 08  —  '-ঈ' প্রত্যয় যোগে লিঙ্গান্তরিত শব্দ- একাদশ\n═════════════════════════════════════════════════════════════════""}",data_tag_id_105_Stage4_final_output.txt,
"• '-আনী' প্রত্যয় যোগে লিঙ্গান্তরিত শব্দ: অরণ্যানী, চাকরাণী, মেথরাণী, শূদ্রাণী।",False,"• '-ইনী' প্রত্যয় যোগে লিঙ্গান্তরিত শব্দ: বাঘিনী, গোয়ালিনী, মালিনী, পাগлини।",77025c99f41d8aa4eb93f505cae1555a2f363a0ac146fd81f7a6bc277d6ba9e3,data_tag_id_105_Stage4_final_output-22,"• '-ঈ' প্রত্যয় যোগে লিঙ্গান্তরিত শব্দ: একাদশী, মানবী, কপোতী, নেত্রী, তাপসী।","{'text_block': ""•  '-ঈ' প্রত্যয় যোগে লিঙ্গান্তরিত শব্দ: একাদশী, মানবী, কপোতী, নেত্রী, তাপসী।\n  •  '-আনী' প্রত্যয় যোগে লিঙ্গান্তরিত শব্দ: অরণ্যানী, চাকরাণী, মেথরাণী, শূদ্রাণী।\n  •  '-ইনী' প্রত্যয় যোগে লিঙ্গান্তরিত শব্দ: বাঘিনী, গোয়ালিনী, মালিনী, পাগлини।\n  •  '-নী' প্রত্যয় যোগে লিঙ্গান্তরিত শব্দ: ননদিনী, ধোপানী, নাতনী, জেলেনী।""}",data_tag_id_105_Stage4_final_output.txt,
"Chapter / Cluster 09 - বাংলা একাডেমি আধুনিক বাংলা অভিধান অনুসারে, চৌ (বাংলা",False,═════════════════════════════════════════════════════════════════,dcaf8f5c38cf2bdc172b4d2f65fe3dfdfb7605840618b52f27585201ab78e538,data_tag_id_105_Stage4_final_output-23,═════════════════════════════════════════════════════════════════,"{'text_block': '═════════════════════════════════════════════════════════════════\n  Chapter / Cluster 09  —  বাংলা একাডেমি আধুনিক বাংলা অভিধান অনুসারে, চৌ (বাংলা\n═════════════════════════════════════════════════════════════════'}",data_tag_id_105_Stage4_final_output.txt,
"• Accessible Dictionary by Bangla Academy অনুসারে, চৌ+(আরবি) হদ্দ্+(বাংলা) ই = চৌহদ্দি।",False,"• প্রমিত বাংলা ব্যাকরণ ও নির্মিতি, ড. হায়াৎ মামুদ ও ড. মোহাম্মদ আমীন অনুসারে, চৌ (ফারসি) + হদ্দি (আরবি) = চৌহদ্দি।",a71f13b7d1b650af29afbdb18d5d9c340853b91ac8dba250890fa28e034f3d5a,data_tag_id_105_Stage4_final_output-24,"• বাংলা একাডেমি আধুনিক বাংলা অভিধান অনুসারে, চৌ (বাংলা) + হদ্দি (ফারসি) = চৌহদ্দি।","{'text_block': '•  বাংলা একাডেমি আধুনিক বাংলা অভিধান অনুসারে, চৌ (বাংলা) + হদ্দি (ফারসি) = চৌহদ্দি।\n  •  Accessible Dictionary by Bangla Academy অনুসারে, চৌ+(আরবি) হদ্দ্\u200c+(বাংলা) ই = চৌহদ্দি।\n  •  প্রমিত বাংলা ব্যাকরণ ও নির্মিতি, ড. হায়াৎ মামুদ ও ড. মোহাম্মদ আমীন অনুসারে, চৌ (ফারসি) + হদ্দি (আরবি) = চৌহদ্দি।\n  •  বাংলা ভাষার ব্যাকরণ, ৯ম-১০ম শ্রেণি (২০১৯ সংস্করণ) অনুসারে, চৌ (ফারসি) + হদ্দি (আরবি) = চৌহদ্দি।'}",data_tag_id_105_Stage4_final_output.txt,
Chapter / Cluster 10 - চিকামারা = চিকা + মারা,False,═════════════════════════════════════════════════════════════════,e98590ffb71cf41c8187b8977a1acd0f36523554d9e4475508c6a4bd610215eb,data_tag_id_105_Stage4_final_output-25,═════════════════════════════════════════════════════════════════,{'text_block': '═════════════════════════════════════════════════════════════════\n  Chapter / Cluster 10  —  চিকামারা = চিকা + মারা\n═════════════════════════════════════════════════════════════════'},data_tag_id_105_Stage4_final_output.txt,
• অর্থ দেওয়ালের লিখন।,False,• এটি যৌগিক শব্দ।,ca7fe649b96b4eb3c72cac611c9e65be033f09af1d14d2e7d1c7fedf81ad3f2f,data_tag_id_105_Stage4_final_output-26,• চিকামারা = চিকা + মারা,{'text_block': '•  চিকামারা = চিকা + মারা\n  •  অর্থ দেওয়ালের লিখন।\n  •  এটি যৌগিক শব্দ।'},data_tag_id_105_Stage4_final_output.txt,
Chapter / Cluster 11 - যেমন,False,═════════════════════════════════════════════════════════════════,cf8888c359f7df20e34b4eab56ac642484f425300f420d5640a974803b0da7ea,data_tag_id_105_Stage4_final_output-27,═════════════════════════════════════════════════════════════════,{'text_block': '═════════════════════════════════════════════════════════════════\n  Chapter / Cluster 11  —  যেমন\n═════════════════════════════════════════════════════════════════'},data_tag_id_105_Stage4_final_output.txt,
"• যেমনঃ নাক, লাল, গোলাপ, তিল, হাত, ফুল ইত্যাদি।",False,🔗 উৎস: নবম-দশম শ্রেণির বাংলা ব্যাকরণ বই।,596de7894df71e37222e5f217a9355b888ed9492dbacb97ab097d73253e51c18,data_tag_id_105_Stage4_final_output-28,"• মৌলিক শব্দঃ যেসব শব্দ বিশ্লেষণ করা যায় না বা ভেঙ্গে আলাদা করা যায় না, সেগুলোকে মৌলিক শব্দ বলে।","{'text_block': '•  মৌলিক শব্দঃ যেসব শব্দ বিশ্লেষণ করা যায় না বা ভেঙ্গে আলাদা করা যায় না, সেগুলোকে মৌলিক শব্দ বলে।\n  •  যেমনঃ নাক, লাল, গোলাপ, তিল, হাত, ফুল ইত্যাদি।\n  🔗 উৎস: নবম-দশম শ্রেণির বাংলা ব্যাকরণ বই।'}",data_tag_id_105_Stage4_final_output.txt,
"Chapter / Cluster 12 - বাংলা একাডেমি, আধুনিক বাংলা অভিধান অনুসারে,",False,═════════════════════════════════════════════════════════════════,771edab93504991bdb61ba1c26d63991e502cbe5a6b73bbc87fc78c1904e171f,data_tag_id_105_Stage4_final_output-29,═════════════════════════════════════════════════════════════════,"{'text_block': '═════════════════════════════════════════════════════════════════\n  Chapter / Cluster 12  —  বাংলা একাডেমি, আধুনিক বাংলা অভিধান অনুসারে,\n═════════════════════════════════════════════════════════════════'}",data_tag_id_105_Stage4_final_output.txt,
